City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
282,Benjamin Constant,-4.3831,-70.0311,77.13,73,75,3.44,BR,2022-06-11 18:27:26
283,Nabire,-3.3667,135.4833,75.25,90,33,2.8,ID,2022-06-11 18:27:27
284,Shenjiamen,29.9576,122.298,68.36,83,100,5.55,CN,2022-06-11 18:27:27
285,Huarmey,-10.0681,-78.1522,70.16,70,44,12.5,PE,2022-06-11 18:27:27
286,Sioux Lookout,50.1001,-91.917,60.87,55,20,8.05,CA,2022-06-11 18:27:28
287,Fuente De Oro,3.4594,-73.6128,70.77,99,100,3.85,CO,2022-06-11 18:27:28
288,Quesnel,52.9999,-122.5029,66.7,39,75,10.36,CA,2022-06-11 18:27:00
289,Muisne,0.6,-80.0333,78.51,81,99,10.69,EC,2022-06-11 18:27:28
290,Hvolsvollur,63.7533,-20.2243,57.51,61,99,8.75,IS,2022-06-11 18:27:29
291,Bondo,3.8146,23.6866,71.71,90,66,0.6,CD,2022-06-11 18:27:29
